index,adc_raw,adc_volts,adc_read_ns,dac_write_ns,proc_ns,loop_ns
8077,2500135,0.745098,12796,19186,31982,33112
8078,2500159,0.745106,12833,19222,32055,33166
8079,2500135,0.745098,12815,19296,32111,34204
8080,2500135,0.745098,12870,19204,32074,33185
8081,2500134,0.745098,12833,19222,32055,33185
8082,2500128,0.745096,12852,19167,32019,33112
8083,2500135,0.745098,12834,19203,32037,33166
8084,2500134,0.745098,12834,19222,32056,33167
8085,2500128,0.745096,12814,19204,32018,33148
8086,2500135,0.745098,12833,19278,32111,33241
8087,2500134,0.745098,12833,19204,32037,34130
8088,2500128,0.745096,12815,19204,32019,33148
8089,2500135,0.745098,12852,19222,32074,33222
8090,2500134,0.745098,12981,19334,32315,33445
8091,2500135,0.745098,12852,19278,32130,33259
8092,2500134,0.745098,12796,19167,31963,33074
8093,2500128,0.745096,12834,19222,32056,33204
8094,2500135,0.745098,12815,19296,32111,33222
8095,2500134,0.745098,12851,19186,32037,34130
8096,2500128,0.745096,12852,19222,32074,33203
8097,2500135,0.745098,12852,19241,32093,33223
8098,2500135,0.745098,12852,19129,31981,33092
8099,2500134,0.745098,12815,19241,32056,33186
8100,2500128,0.745096,12797,19203,32000,33129
8101,2500134,0.745098,12815,19241,32056,34167
8102,2500159,0.745106,12833,19223,32056,33167
8103,2500135,0.745098,12797,19296,32093,33222
8104,2500135,0.745098,12815,19185,32000,33111
8105,2500134,0.745098,12833,19204,32037,33167
8106,2500128,0.745096,12815,19185,32000,33111
8107,2500134,0.745098,12833,19204,32037,34148
8108,2500128,0.745096,12834,19185,32019,33130
8109,2500135,0.745098,12815,19278,32093,33222
8110,2500134,0.745098,12815,19166,31981,33111
8111,2500134,0.745098,12833,19260,32093,33223
8112,2500135,0.745098,12814,19223,32037,33148
8113,2500134,0.745098,12815,19240,32055,34166
8114,2500134,0.745098,12851,19186,32037,33149
8115,2500135,0.745098,12815,19259,32074,33203
8116,2500134,0.745098,12834,19222,32056,33167
8117,2500134,0.745098,12870,19278,32148,33278
8118,2500128,0.745096,12796,19241,32037,33148
8119,2500135,0.745098,12871,19203,32074,34185
8120,2500134,0.745098,12852,19241,32093,33204
8121,2500159,0.745106,12796,19222,32018,33148
8122,2500128,0.745096,12871,19222,32093,33204
8123,2500134,0.745098,12833,19315,32148,33278
8124,2500134,0.745098,12796,19315,32111,33222
8125,2500134,0.745098,12833,19222,32055,33185
8126,2500128,0.745096,12852,19130,31982,33093
8127,2500134,0.745098,12870,19259,32129,34222
8128,2500134,0.745098,12834,19203,32037,33148
8129,2500128,0.745096,12833,19204,32037,33167
8130,2500134,0.745098,12815,19203,32018,33148
8131,2500134,0.745098,12778,19259,32037,33167
8132,2500128,0.745096,12814,19186,32000,33130
8133,2500134,0.745098,12778,19166,31944,34055
8134,2500128,0.745096,12908,19222,32130,33278
8135,2500135,0.745098,12833,19185,32018,33148
8136,2500134,0.745098,12797,19203,32000,33148
8137,2500159,0.745106,12833,19149,31982,33112
8138,2500135,0.745098,12815,19204,32019,33148
8139,2500134,0.745098,12778,19203,31981,34092
8140,2500135,0.745098,12852,19278,32130,33260
8141,2500135,0.745098,12797,19222,32019,33148
8142,2500134,0.745098,12796,19185,31981,33111
8143,2500135,0.745098,12815,19148,31963,34056
8144,2500134,0.745098,12833,19185,32018,33166
8145,2500128,0.745096,12796,19223,32019,33149
8146,2500135,0.745098,12834,19129,31963,33092
8147,2500134,0.745098,12852,19167,32019,33167
8148,2500128,0.745096,12796,19241,32037,33185
8149,2500134,0.745098,12852,19148,32000,34093
8150,2500128,0.745096,12852,19148,32000,33129
8151,2500135,0.745098,12796,19223,32019,33149
8152,2500134,0.745098,12852,19204,32056,33185
8153,2500128,0.745096,12814,19186,32000,33130
8154,2500135,0.745098,12889,19222,32111,33222
8155,2500134,0.745098,12815,19166,31981,34092
8156,2500128,0.745096,12889,19185,32074,33204
8157,2500135,0.745098,12815,19203,32018,33148
8158,2500134,0.745098,12852,19204,32056,33186
8159,2500128,0.745096,12815,19222,32037,33166
8160,2500128,0.745096,12852,19315,32167,33297
8161,2500134,0.745098,12815,19222,32037,34129
8162,2500134,0.745098,12871,19185,32056,33167
8163,2500128,0.745096,12796,19241,32037,33167
8164,2500135,0.745098,12852,19148,32000,33129
8165,2500134,0.745098,12814,19186,32000,33149
8166,2500128,0.745096,12834,19240,32074,33203
8167,2500134,0.745098,12852,19185,32037,34130
8168,2500159,0.745106,12870,19259,32129,33259
8169,2500128,0.745096,12759,19223,31982,33112
8170,2500135,0.745098,12852,19204,32056,33185
8171,2500134,0.745098,12834,19203,32037,33166
8172,2500128,0.745096,12852,19296,32148,33278
8173,2500135,0.745098,12852,19185,32037,34130
8174,2500134,0.745098,12833,19204,32037,33167
8175,2500128,0.745096,12815,19240,32055,33166
8176,2500135,0.745098,12833,19223,32056,33186
8177,2500134,0.745098,12834,19277,32111,33240
8178,2500134,0.745098,12833,19260,32093,33223
8179,2500159,0.745106,12815,19148,31963,33074
8180,2500135,0.745098,12797,19240,32037,33166
8181,2500134,0.745098,12852,19167,32019,34112
8182,2500128,0.745096,12778,19167,31945,33074
8183,2500134,0.745098,12833,19185,32018,33129
8184,2500128,0.745096,12796,19241,32037,33167
8185,2500134,0.745098,12796,19259,32055,34148
8186,2500134,0.745098,12833,19204,32037,33167
8187,2500128,0.745096,12833,19167,32000,33111
8188,2500135,0.745098,12852,19222,32074,33204
8189,2500134,0.745098,12814,19223,32037,33167
8190,2500128,0.745096,12778,19129,31907,33055
8191,2500134,0.745098,12815,19167,31982,34056
8192,2500135,0.745098,12815,19260,32075,33204
8193,2500134,0.745098,12777,19241,32018,33129
8194,2500134,0.745098,12852,19203,32055,33185
8195,2500135,0.745098,12777,19167,31944,34019
8196,2500134,0.745098,12814,19186,32000,33130
8197,2500135,0.745098,12815,19203,32018,33129
8198,2500135,0.745098,12852,19222,32074,33204
8199,2500134,0.745098,12778,19241,32019,33130
8200,2500128,0.745096,12815,19185,32000,33148
8201,2500134,0.745098,12833,19222,32055,34148
8202,2500128,0.745096,12796,19241,32037,33167
8203,2500135,0.745098,12796,19148,31944,33055
8204,2500134,0.745098,12815,19259,32074,33204
8205,2500128,0.745096,12797,19259,32056,33167
8206,2500135,0.745098,12833,19185,32018,33148
8207,2500159,0.745106,12871,19185,32056,34130
8208,2500128,0.745096,12778,19222,32000,33148
8209,2500134,0.745098,12833,19167,32000,33111
8210,2500128,0.745096,13185,19278,32463,33593
8211,2500135,0.745098,12834,19203,32037,33166
8212,2500134,0.745098,12852,19185,32037,33167
8213,2500128,0.745096,12833,19222,32055,33185
8214,2500135,0.745098,12759,19167,31926,33056
8215,2500128,0.745096,12796,19185,31981,34074
8216,2500135,0.745098,12852,19240,32092,33222
8217,2500134,0.745098,12852,19204,32056,33186
8218,2500159,0.745106,12834,19203,32037,33166
8219,2500135,0.745098,12833,19241,32074,34167
8220,2500134,0.745098,12741,19204,31945,33093
8221,2500128,0.745096,12815,19185,32000,33129
8222,2500134,0.745098,12815,19222,32037,33167
8223,2500134,0.745098,12778,19204,31982,33093
8224,2500135,0.745098,12815,19203,32018,33166
8225,2500134,0.745098,12834,19204,32038,34112
8226,2500128,0.745096,12797,19240,32037,33166
8227,2500135,0.745098,12797,19203,32000,33111
8228,2500134,0.745098,12815,19241,32056,33186
8229,2500128,0.745096,12833,19167,32000,33111
8230,2500134,0.745098,12797,19241,32038,33167
8231,2500159,0.745106,12833,19204,32037,34129
8232,2500128,0.745096,12796,19278,32074,33204
8233,2500134,0.745098,12852,19185,32037,33148
8234,2500134,0.745098,12796,19204,32000,33130
8235,2500135,0.745098,12852,19166,32018,34092
8236,2500134,0.745098,12833,19167,32000,33149
8237,2500128,0.745096,12852,19185,32037,33148
8238,2500135,0.745098,12815,19297,32112,33241
8239,2500134,0.745098,12834,19314,32148,33277
8240,2500134,0.745098,12814,19223,32037,33149
8241,2500128,0.745096,12796,19222,32018,33166
8242,2500135,0.745098,12889,19186,32075,33186
8243,2500134,0.745098,12833,19278,32111,34222
8244,2500128,0.745096,12796,19223,32019,33130
8245,2500135,0.745098,12815,19185,32000,33129
8246,2500134,0.745098,12852,19296,32148,33259
8247,2500134,0.745098,12833,19315,32148,33278
8248,2500128,0.745096,12834,19278,32112,33223
8249,2500135,0.745098,12852,19185,32037,34129
8250,2500134,0.745098,12834,19222,32056,33167
8251,2500128,0.745096,12833,19223,32056,33167
8252,2500135,0.745098,12833,19185,32018,33129
8253,2500134,0.745098,12815,19333,32148,33278
8254,2500134,0.745098,12871,19222,32093,33204
8255,2500134,0.745098,12833,19204,32037,33185
8256,2500135,0.745098,12834,19203,32037,33148
8257,2500134,0.745098,12889,19204,32093,34204
8258,2500128,0.745096,12852,19185,32037,33148
8259,2500135,0.745098,12797,19240,32037,33185
8260,2500134,0.745098,12870,19186,32056,33186
8261,2500134,0.745098,12833,19278,32111,33259
8262,2500128,0.745096,12777,19167,31944,33074
8263,2500134,0.745098,12815,19204,32019,34130
8264,2500128,0.745096,12870,19148,32018,33129
8265,2500135,0.745098,12796,19260,32056,33186
8266,2500134,0.745098,12815,19203,32018,33129
8267,2500128,0.745096,12796,19204,32000,33130
8268,2500135,0.745098,12777,19315,32092,33222
8269,2500134,0.745098,12815,19241,32056,34167
8270,2500128,0.745096,12833,19204,32037,33148
8271,2500135,0.745098,12870,19278,32148,33278
8272,2500135,0.745098,12815,19148,31963,33074
8273,2500159,0.745106,12833,19204,32037,33167
8274,2500135,0.745098,12796,19204,32000,33111
8275,2500134,0.745098,12778,19185,31963,34074
8276,2500135,0.745098,12870,19222,32092,33222
8277,2500135,0.745098,12852,19185,32037,33167
8278,2500134,0.745098,12852,19240,32092,33222
8279,2500128,0.745096,12815,19204,32019,33149
8280,2500135,0.745098,12834,19222,32056,33185
8281,2500134,0.745098,12797,19166,31963,34055
8282,2500128,0.745096,12815,19204,32019,33149
8283,2500134,0.745098,12834,19185,32019,33148
8284,2500134,0.745098,12834,19222,32056,33185
8285,2500135,0.745098,12833,19241,32074,34167
8286,2500134,0.745098,12797,19240,32037,33166
8287,2500134,0.745098,12796,19241,32037,33149
8288,2500128,0.745096,12833,19278,32111,33259
8289,2500135,0.745098,12815,19222,32037,33148
8290,2500134,0.745098,12833,19204,32037,33167
8291,2500128,0.745096,12833,19223,32056,33167
8292,2500135,0.745098,12796,19241,32037,33166
8293,2500134,0.745098,12833,19222,32055,34148
8294,2500128,0.745096,12833,19204,32037,33167
8295,2500135,0.745098,12797,19259,32056,33167
8296,2500134,0.745098,12778,19204,31982,33130
8297,2500128,0.745096,12833,19204,32037,33148
8298,2500135,0.745098,12833,19204,32037,33185
8299,2500134,0.745098,12814,19186,32000,34093
8300,2500135,0.745098,12834,19166,32000,33129
8301,2500134,0.745098,12796,19222,32018,33148
8302,2500128,0.745096,12815,19278,32093,33223
8303,2500135,0.745098,12871,19203,32074,34166
8304,2500134,0.745098,12778,19241,32019,33149
8305,2500159,0.745106,12834,19166,32000,33129
8306,2500135,0.745098,12852,19203,32055,33185
8307,2500134,0.745098,12796,19222,32018,33130
8308,2500128,0.745096,12815,19203,32018,33148
8309,2500134,0.745098,12815,19167,31982,34056
8310,2500159,0.745106,12796,19241,32037,33185
8311,2500135,0.745098,12834,19203,32037,33148
8312,2500134,0.745098,12870,19186,32056,33186
8313,2500134,0.745098,12796,19241,32037,33148
8314,2500128,0.745096,12815,19185,32000,33148
8315,2500134,0.745098,12833,19296,32129,34222
8316,2500134,0.745098,12778,19241,32019,33130
8317,2500135,0.745098,12796,19241,32037,33167
8318,2500135,0.745098,12889,19185,32074,33185
8319,2500134,0.745098,12834,19259,32093,33222
8320,2500128,0.745096,12815,19167,31982,33093
8321,2500134,0.745098,12852,19315,32167,34259
8322,2500134,0.745098,12815,19222,32037,33148
8323,2500128,0.745096,12815,19203,32018,33148
8324,2500135,0.745098,12870,19167,32037,33149
8325,2500134,0.745098,12815,19259,32074,33203
8326,2500134,0.745098,12834,19204,32038,33149
8327,2500135,0.745098,12852,19259,32111,34222
8328,2500134,0.745098,12815,19204,32019,33111
8329,2500134,0.745098,12833,19259,32092,33222
8330,2500135,0.745098,13149,19240,32389,33500
8331,2500134,0.745098,12815,19203,32018,33148
8332,2500135,0.745098,12851,19149,32000,33112
8333,2500134,0.745098,12852,19204,32056,33185
8334,2500134,0.745098,12815,19148,31963,33074
8335,2500134,0.745098,12833,19241,32074,34167
8336,2500134,0.745098,12833,19185,32018,33129
8337,2500128,0.745096,12814,19278,32092,33241
8338,2500135,0.745098,12778,19166,31944,33074
8339,2500134,0.745098,12815,19223,32038,33186
8340,2500128,0.745096,12833,19204,32037,33148
8341,2500134,0.745098,12833,19222,32055,34166
8342,2500134,0.745098,12833,19204,32037,33167
8343,2500128,0.745096,12815,19296,32111,33241
8344,2500135,0.745098,12777,19167,31944,33074
8345,2500134,0.745098,12834,19296,32130,33278
8346,2500128,0.745096,12778,19185,31963,33074
8347,2500134,0.745098,12851,19204,32055,34148
8348,2500134,0.745098,12852,19222,32074,33185
8349,2500128,0.745096,12796,19259,32055,33204
8350,2500135,0.745098,12815,19167,31982,33093
8351,2500134,0.745098,12815,19204,32019,33148
8352,2500128,0.745096,12796,19241,32037,33167
8353,2500134,0.745098,12815,19185,32000,34092
8354,2500128,0.745096,12834,19185,32019,33130
8355,2500135,0.745098,12814,19278,32092,33222
8356,2500134,0.745098,12834,19166,32000,33111
8357,2500159,0.745106,12815,19222,32037,33167
8358,2500135,0.745098,12815,19204,32019,33130
8359,2500134,0.745098,12815,19166,31981,34092
8360,2500128,0.745096,12833,19204,32037,33149
8361,2500134,0.745098,12815,19259,32074,33203
