index,adc_raw,adc_volts,adc_read_ns,dac_write_ns,proc_ns,loop_ns
574,3446706,1.027199,30185,23500,53685,66555
575,3218117,0.959074,30223,23444,53667,66630
576,2942656,0.876980,30223,23481,53704,66574
577,2632260,0.784475,30203,23482,53685,66593
578,2300058,0.685471,30203,23463,53666,66555
579,1960778,0.584357,30240,23482,53722,66593
580,1629270,0.485560,30204,23593,53797,66667
581,1320101,0.393421,30259,23389,53648,66555
582,1046839,0.311982,30277,23500,53777,66648
583,821635,0.244866,30186,23425,53611,66537
584,653549,0.194773,30222,23500,53722,66593
585,550455,0.164048,30278,23445,53723,66593
586,517047,0.154092,30204,23518,53722,66629
587,554944,0.165386,30241,23389,53630,66519
588,662269,0.197372,30260,23500,53760,66630
589,833574,0.248424,30241,23500,53741,66685
590,1061888,0.316467,30278,23463,53741,66611
591,1337624,0.398643,30204,23500,53704,66648
592,1648580,0.491315,30185,23408,53593,66482
593,1980951,0.590369,30241,23444,53685,67981
594,2320311,0.691507,30223,23518,53741,66611
595,2651518,0.790214,30203,23445,53648,66519
596,2960110,0.882182,30297,23425,53722,66629
597,3233119,0.963545,30241,23482,53723,66612
598,3458573,1.030735,30112,23481,53593,66481
599,3626559,1.080799,30241,23426,53667,66630
600,3729674,1.111530,30203,23408,53611,66500
601,3763338,1.121562,30240,23482,53722,66611
602,3725747,1.110359,30241,23444,53685,66574
603,3618812,1.078490,30241,23426,53667,66556
604,3447508,1.027438,30186,23426,53612,66500
605,3219066,0.959357,30222,23463,53685,66648
606,2943892,0.877348,30241,23518,53759,66666
607,2633595,0.784873,30204,23518,53722,66667
608,2301446,0.685884,30240,23463,53703,66574
